00029644/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,7/1/2017,5:58:08 p.m.,COMUNA 15,VILLA ORTUZAR,ACHA, MARIANO, GRAL.,901,,-34.5848903044429,-58.4720403178611,WEB,MASCULINO,CERRADO
00030813/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,8/1/2017,3:51:54 p.m.,COMUNA 13,NUÑEZ,PEDRAZA, MANUELA,2598,,-34.5526719734159,-58.4679534010706,WEB,MASCULINO,CERRADO
00031735/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,1:25:13 a.m.,COMUNA 13,NUÑEZ,CRAMER AV.,3134,,-34.5556584583783,-58.4692930925053,WEB,MASCULINO,CERRADO
00031756/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,2:00:15 a.m.,COMUNA 13,NUÑEZ,PEDRAZA, MANUELA,2725,,-34.5532511573683,-58.4692558943894,WEB,MASCULINO,CERRADO
00031777/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,2:55:03 a.m.,COMUNA 13,NUÑEZ,PEDRAZA, MANUELA,2499,,-34.5521763588813,-58.4671656253541,WEB,MASCULINO,CERRADO
00031778/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,2:57:27 a.m.,COMUNA 13,NUÑEZ,CIUDAD DE LA PAZ,3398,,-34.5515946260679,-58.4678140918457,WEB,MASCULINO,CERRADO
00031780/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,3:00:15 a.m.,COMUNA 12,VILLA URQUIZA,OLAZABAL AV.,4769,,-34.5744833472599,-58.4825110291372,WEB,MASCULINO,CERRADO
00031781/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,3:03:10 a.m.,COMUNA 13,NUÑEZ,PEDRAZA, MANUELA,2499,,-34.5521763588813,-58.4671656253541,WEB,MASCULINO,CERRADO
00031783/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,3:07:13 a.m.,COMUNA 12,VILLA URQUIZA,MONROE,4085,,-34.56823687159,-58.4761523376026,WEB,MASCULINO,CERRADO
00031784/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,3:09:53 a.m.,COMUNA 13,NUÑEZ,PEDRAZA, MANUELA,2775,,-34.5534426209199,-58.4696156981361,WEB,MASCULINO,CERRADO
00000005/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,1:23:56 a.m.,COMUNA 5,ALMAGRO,YRIGOYEN, HIPOLITO AV.,3688,,-34.6142403542144,-58.4182327785395,APP,MASCULINO,CERRADO
00031786/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,3:12:29 a.m.,COMUNA 12,COGHLAN,ROOSEVELT FRANKLIN D.,3180,,-34.5619038654035,-58.4679816664565,WEB,MASCULINO,CERRADO
00000458/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,7:36:05 p.m.,COMUNA 10,VILLA LURO,DONIZETTI,36,,-34.6375674068916,-58.4964080393601,APP,MASCULINO,CERRADO
00000460/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,7:37:32 p.m.,COMUNA 13,NUÑEZ,PEDRAZA, MANUELA,2285,,-34.5505386179981,-58.4650462898546,APP,FEMENINO,CERRADO
00031787/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,3:15:27 a.m.,COMUNA 12,COGHLAN,FREIRE, RAMON, CAP. GRAL.,2601,,-34.5620447082214,-58.468341756458,WEB,MASCULINO,CERRADO
00000563/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,8:55:47 p.m.,COMUNA 10,VILLA LURO,LEOPARDI,238,,-34.6402405412329,-58.4973880309807,APP,MASCULINO,CERRADO
00000567/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,8:57:40 p.m.,COMUNA 13,BELGRANO,SUPERI,1799,,-34.57069033791,-58.4640260295551,WEB,MASCULINO,CERRADO
00000591/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,9:11:25 p.m.,COMUNA 13,BELGRANO,ECHEVERRIA,3025,,-34.5664141134679,-58.461778799406,WEB,MASCULINO,CERRADO
00031789/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,3:17:44 a.m.,COMUNA 13,BELGRANO,CONGRESO AV.,3012,,-34.5585939931166,-58.4683960266387,WEB,MASCULINO,CERRADO
00008860/17,201701,ARBOLADO Y ESPACIOS VERDES,PROBLEMA CON INTERVENCIONES DE ARBOLADO,PROBLEMAS CON INTERVENCIONES DE ARBOLADO,SOLICITUD,3/1/2017,11:33:15 a.m.,COMUNA 5,BOEDO,SANCHEZ DE LORIA,1807,,-34.6318752865923,-58.4116771948229,COMUNAS,FEMENINO,CERRADO
00031799/17,201701,CALLES Y VEREDAS,REPARACION DE VEREDA,REPARACION DE VEREDA,SOLICITUD,9/1/2017,4:57:03 a.m.,COMUNA 14,PALERMO,HUMBOLDT,2356,,-34.5795871468042,-58.4294118040846,APP,FEMENINO,ABIERTO
00037921/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,9/1/2017,10:15:43 p.m.,COMUNA 12,VILLA URQUIZA,ECHEVERRIA,4740,,-34.5761632006952,-58.4776537313169,WEB,MASCULINO,CERRADO
00010364/17,201701,ORDENAMIENTO DEL ESPACIO PUBLICO,OCUPACION INDEBIDA,OCUPACION INDEBIDA POR LOCAL COMERCIAL,DENUNCIA,3/1/2017,2:34:23 p.m.,COMUNA 15,VILLA CRESPO,DARWIN,736,,-34.5931845964805,-58.4440936902178,WEB,FEMENINO,ABIERTO
00013500/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,4/1/2017,9:12:39 a.m.,COMUNA 6,CABALLITO,HORTIGUERA,75,,-34.6237460202613,-58.4470067596658,APP,MASCULINO,CERRADO
00017532/17,201701,MEDIOS DE TRANSPORTE,BICICLETAS,INCONVENIENTES CON ECOBICIS,QUEJA,4/1/2017,6:03:58 p.m.,COMUNA 6,CABALLITO,RIO DE JANEIRO,1034,,-34.6036046819742,-58.4326622141794,147,MASCULINO,ABIERTO
00017942/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,4/1/2017,7:38:26 p.m.,COMUNA 13,COLEGIALES,MARTINEZ, ENRIQUE, GRAL.,705,,-34.5782787677779,-58.4512091608517,APP,MASCULINO,CERRADO
00017943/17,201701,SUGERENCIAS Y LIBRO DE QUEJAS,SUGERENCIAS EN TRAMITE,MEJORA EN LOS PROCESOS DE TRAMITES,QUEJA,4/1/2017,7:38:59 p.m.,COMUNA 10,FLORESTA,BACACAY,3968,,-34.6318140326418,-58.4835677296675,147,FEMENINO,ABIERTO
